"gene","in_filtered","log2FC","FDR","significant"
"B2M",TRUE,-0.624092744653593,6.0968043793619e-05,TRUE
"SERPING1",TRUE,-0.34981849802212,6.0968043793619e-05,FALSE
"CLU",TRUE,0.267707722000477,0.000110940933021137,FALSE
"APOL1",TRUE,0.707111136507202,0.000111688445232516,TRUE
"VCAM1",TRUE,-0.818965631952545,0.000111688445232516,TRUE
"LRG1",TRUE,-0.32292693236266,0.000832947921388062,FALSE
"CFB",TRUE,0.242309697494898,0.000866062089497659,FALSE
"FCGBP",TRUE,-0.715211325176679,0.00124235974789597,TRUE
"ORM1",TRUE,-0.286910760171032,0.00187639972681076,FALSE
"APOC3",TRUE,0.836178042825892,0.00416830093471831,TRUE
"ADIPOQ",TRUE,-1.032771692425,0.00416830093471831,TRUE
"CRP",TRUE,-1.02490943415156,0.00665688272978322,TRUE
"ORM2",TRUE,-0.141097431253889,0.127423742753804,FALSE
"AHSG",TRUE,0.102882359554742,0.187564244531267,FALSE
"CPB2",TRUE,0.105966200240376,0.280248685278227,FALSE
"AFP",FALSE,NA,NA,NA
